abaqus_keyword,manual_pages,abaqus_quantity,ufc_host_type,ufc_field_logical,family_desc_anchor,code_ref,pdfplumber_table_preview
*CONCRETE,"53,443,446,447,448,449,467,474,476,477,478,479,480",tension stiffening / damage vars,MD_Mat_Desc,props(:); pop%nStateV,`Damage/` + `Plast/`,MD_MAT_CATEGORY_DA,
*CONDUCTIVITY,"56,629,630",k (thermal conductivity tensor / isotropic),MD_Mat_Desc,props(:) via thermal Populate,`Thermal/`,MD_MAT_CATEGORY_EL + thermal coupling flags,"Behavior | Keyword | Requires
Thermalconductivity Volumetricheatgeneration(S) Latentheat Specificheat | *CONDUCTIVITY *HEATGENERATION *LATENTHEAT *SPECIFICHEAT | Density Density"
*CREEP,"54,269,270,272,273,274,275,276,281,288,290,327,328",creep law constants,MD_Mat_Desc,props(:); pop%nStateV (SDV),`L3_MD/Material/Creep/`,MD_MAT_CATEGORY_CR,"Behavior | Keyword | Requires
Cyclichardening Inelasticheatfraction Oak Ridge National Laboratoryconstitutive model(S) Porousmaterialfailure criteria(E) Porousmetalplasticity Anisotropicyield/creep Shearfailure(E) Tensioncutoff | *CYCLICHARDENING *INELASTIC HEAT FRACTION *ORNL *POROUS FAILURE CRITERIA *POROUS METAL PLASTICITY *POTENTIAL *SHEARFAILURE *TENSIONCUTOFF | Metalplasticitywithnonlinear isotropic/kinematichardening Metalplasticityandspecificheat Metal plasticity, cycled yield stressdata, and, usually, metal creep Porousmetalplasticity Metalplasticity Metal plasticity, metal creep, Cam-clayplasticity,ortwo-layer viscoplasticity Metalplasticity Mohr-Coulombplasticity"
*DENSITY,"51,61,62,247,300,413,426,574,575,576,580,581,583,587,637,638,640,641,699",ρ (mass density),MD_Mat_Desc,props(k) packed by Populate OR section-level density bundle,— (跨族),MD_Mat_Def.f90 :: PUBLIC MD_Mat_Desc (文档 MD_Mat_Desc),"Behavior | Keyword | Requires
Materialdamping Density Solution-dependent statevariables Thermalexpansion | *DAMPING *DENSITY *DEPVAR *EXPANSION | Elasticity, fabric, hyperelasticity, hyperfoam, low-densityfoam,oranisotropichyperelasticity(except when used with beam or shell general sections or substructures) RequiredinAbaqus/Explicit,exceptforhydrostatic fluidelements"
*DRUCKER PRAGER,"53,54,266,337,341,342,345,346,347,353,362,363,590","β, d, ψ, …",MD_Mat_Desc + MD_Mat_DP_Desc,主卡 props + Populate → MD_Mat_DP_Desc typed fields,`L3_MD/Material/Geo/MD_Geo_DruckerPrager.f90`,MD_Mat_DP_Desc; props on PUBLIC MD_Mat_Desc,"Behavior | Keyword | Requires
Cyclichardening Inelasticheatfraction Oak Ridge National Laboratoryconstitutive model(S) Porousmaterialfailure criteria(E) Porousmetalplasticity Anisotropicyield/creep Shearfailure(E) Tensioncutoff | *CYCLICHARDENING *INELASTIC HEAT FRACTION *ORNL *POROUS FAILURE CRITERIA *POROUS METAL PLASTICITY *POTENTIAL *SHEARFAILURE *TENSIONCUTOFF | Metalplasticitywithnonlinear isotropic/kinematichardening Metalplasticityandspecificheat Metal plasticity, cycled yield stressdata, and, usually, metal creep Porousmetalplasticity Metalplasticity Metal plasticity, metal creep, Cam-clayplasticity,ortwo-layer viscoplasticity Metalplasticity Mohr-Coulombplasticity"
*ELASTIC,"45,51,52,73,74,75,76,77,78,79,80,81,82,87,321,322,571,589,590","Isotropic: E, ν (or G, K) / Orthotropic: Dij",MD_Mat_Desc,props(:); cfg%matModel / cfg%materialType,`L3_MD/Material/Elas/*` + `PH_Mat_Elas_*`,MD_Mat_Def.f90 :: PUBLIC MD_Mat_Desc + 各族线弹 Desc,"Behavior | Keyword | Requires
Materialdamping Density Solution-dependent statevariables Thermalexpansion | *DAMPING *DENSITY *DEPVAR *EXPANSION | Elasticity, fabric, hyperelasticity, hyperfoam, low-densityfoam,oranisotropichyperelasticity(except when used with beam or shell general sections or substructures) RequiredinAbaqus/Explicit,exceptforhydrostatic fluidelements"
*EOS,"51,53,306,571,574,575,576,580,581,582,583,584,585,587,589,590,591,619",EOS parameters,MD_Mat_Desc / User bundle,props(:),`User/`,MD_MAT_MODEL_USER,"Behavior | Keyword | Requires
Materialdamping Density Solution-dependent statevariables Thermalexpansion | *DAMPING *DENSITY *DEPVAR *EXPANSION | Elasticity, fabric, hyperelasticity, hyperfoam, low-densityfoam,oranisotropichyperelasticity(except when used with beam or shell general sections or substructures) RequiredinAbaqus/Explicit,exceptforhydrostatic fluidelements"
*EXPANSION,"51,413,605,606,607,608,609,610,613,614,615,616,617",α (CTE),MD_Mat_Desc,props(:),`Thermal/` + elastic coupling,PUBLIC MD_Mat_Desc + thermal tables,"Behavior | Keyword | Requires
Materialdamping Density Solution-dependent statevariables Thermalexpansion | *DAMPING *DENSITY *DEPVAR *EXPANSION | Elasticity, fabric, hyperelasticity, hyperfoam, low-densityfoam,oranisotropichyperelasticity(except when used with beam or shell general sections or substructures) RequiredinAbaqus/Explicit,exceptforhydrostatic fluidelements"
*FABRIC,"51,413,415,416,426,427,429",fabric stiffness / nonlinear shear,MD_Mat_Desc,props(:); cfg%behavior,`Geo/` / `Composite/`（织物）,MD_MAT_CATEGORY_GEOMAT / COMPOSITE,"Behavior | Keyword | Requires
Materialdamping Density Solution-dependent statevariables Thermalexpansion | *DAMPING *DENSITY *DEPVAR *EXPANSION | Elasticity, fabric, hyperelasticity, hyperfoam, low-densityfoam,oranisotropichyperelasticity(except when used with beam or shell general sections or substructures) RequiredinAbaqus/Explicit,exceptforhydrostatic fluidelements"
*HYPERELASTIC,"51,105,113,114,115,116,118,155,204,207,489","strain-energy coefficients (C_i, D_i, …)",MD_Mat_Desc,props(:); cfg%matModel,`HyperElas/` + `PH_Mat_HyperElas_*`,MD_MAT_MODEL_HYP,"Behavior | Keyword | Requires
Materialdamping Density Solution-dependent statevariables Thermalexpansion | *DAMPING *DENSITY *DEPVAR *EXPANSION | Elasticity, fabric, hyperelasticity, hyperfoam, low-densityfoam,oranisotropichyperelasticity(except when used with beam or shell general sections or substructures) RequiredinAbaqus/Explicit,exceptforhydrostatic fluidelements"
*HYPERFOAM,"51,131,135,136,167",foam hyperelastic parameters,MD_Mat_Desc,props(:),`HyperElas/`,MD_MAT_MODEL_HYP,"Behavior | Keyword | Requires
Materialdamping Density Solution-dependent statevariables Thermalexpansion | *DAMPING *DENSITY *DEPVAR *EXPANSION | Elasticity, fabric, hyperelasticity, hyperfoam, low-densityfoam,oranisotropichyperelasticity(except when used with beam or shell general sections or substructures) RequiredinAbaqus/Explicit,exceptforhydrostatic fluidelements"
*HYPOELASTIC,"52,101,102",C_ijkl rate-based moduli,MD_Mat_Desc,props(:),`Elas/` hypo 分支,MD_MAT_CATEGORY_EL,"Behavior | Keyword | Requires
Anisotropichyperelasticity Hypoelasticity(S) Porouselasticity(S) Low-densityfoam(E) | *ANISOTROPICHYPERELASTIC *HYPOELASTIC *POROUSELASTIC *LOWDENSITYFOAM | "
*MOHR COULOMB,"53,379,383,385","φ, c, ψ, …",MD_Mat_Desc + MD_Mat_Mohr_Coulomb_Desc,props(:) or typed Geo Desc,`Geo/PH_MatGeo_MohrCoulomb*`,MD_MatPLG_MohrCoulomb :: MohrCoulomb_MatDesc (文档 MD_Mat_Mohr_Coulomb_Desc),
*PLASTIC,"53,54,155,207,241,242,243,244,245,246,247,249,257,259,260,262,266,288,289,292",yield + hardening parameters,MD_Mat_Desc,props(:); behavior; pop%nStateV,`L3_MD/Material/Plast/*` + `PH_Mat_*_Plast`,MD_Mat_Def.f90 :: PUBLIC MD_Mat_Desc / MD_MAT_CATEGORY_PL,"Behavior | Keyword | Requires
Cyclichardening Inelasticheatfraction Oak Ridge National Laboratoryconstitutive model(S) Porousmaterialfailure criteria(E) Porousmetalplasticity Anisotropicyield/creep Shearfailure(E) Tensioncutoff | *CYCLICHARDENING *INELASTIC HEAT FRACTION *ORNL *POROUS FAILURE CRITERIA *POROUS METAL PLASTICITY *POTENTIAL *SHEARFAILURE *TENSIONCUTOFF | Metalplasticitywithnonlinear isotropic/kinematichardening Metalplasticityandspecificheat Metal plasticity, cycled yield stressdata, and, usually, metal creep Porousmetalplasticity Metalplasticity Metal plasticity, metal creep, Cam-clayplasticity,ortwo-layer viscoplasticity Metalplasticity Mohr-Coulombplasticity"
*SPECIFIC HEAT,"56,247,300,584,587,631,632",c_p,MD_Mat_Desc,props(:),`Thermal/`,—,"Behavior | Keyword | Requires
Thermalconductivity Volumetricheatgeneration(S) Latentheat Specificheat | *CONDUCTIVITY *HEATGENERATION *LATENTHEAT *SPECIFICHEAT | Density Density"
*USER MATERIAL,"51,56,697,699,700,701,705","PROPS, NPROPS, STATEV",MD_Mat_Desc + MD_Mat_UMAT_Intf / MatCtxLegacy,props(:); nProps; nStateV; materialType=USER,`User/` + `PH_UMAT_*`,"MD_Mat_Def.f90 :: PUBLIC MD_MAT_UMAT_Intf (文档 MD_Mat_UMAT_Intf), MatCtxLegacy","Behavior | Keyword | Requires
Thermalconductivity Volumetricheatgeneration(S) Latentheat Specificheat | *CONDUCTIVITY *HEATGENERATION *LATENTHEAT *SPECIFICHEAT | Density Density"
*VISCOELASTIC,"52,54,143,175,182,183,184,185,193,196,197,198,199,207,213,214","Prony / g_i, τ_i / frequency data",MD_Mat_Desc,props(:); pop%nStateV,`Viscoelas/` + `PH_Mat_Visco_*`,MD_MAT_MODEL_VISC,"Behavior | Keyword | Requires
Anisotropichyperelasticity Hypoelasticity(S) Porouselasticity(S) Low-densityfoam(E) | *ANISOTROPICHYPERELASTIC *HYPOELASTIC *POROUSELASTIC *LOWDENSITYFOAM | "
